tick,population,average_age,collisions,deaths_collision,deaths_age,births_clone,births_spontaneous
582,8,184.625,0,0,0,0,0
583,8,185.625,0,0,0,0,0
584,9,165.889,0,0,0,1,0
585,9,166.889,1,0,0,0,0
586,10,151.1,0,0,0,0,1
587,10,152.1,0,0,0,0,0
588,10,153.1,0,0,0,0,0
589,10,154.1,0,0,0,0,0
590,10,155.1,0,0,0,0,0
591,10,156.1,0,0,0,0,0
592,10,157.1,0,0,0,0,0
593,10,158.1,0,0,0,0,0
594,10,159.1,0,0,0,0,0
595,10,160.1,0,0,0,0,0
596,10,161.1,0,0,0,0,0
597,10,162.1,0,0,0,0,0
598,10,163.1,0,0,0,0,0
599,10,164.1,0,0,0,0,0
600,10,165.1,0,0,0,0,0
601,10,166.1,0,0,0,0,0
602,10,167.1,0,0,0,0,0
603,10,168.1,0,0,0,0,0
604,10,169.1,0,0,0,0,0
605,10,170.1,0,0,0,0,0
606,10,171.1,0,0,0,0,0
607,10,172.1,0,0,0,0,0
608,10,173.1,0,0,0,0,0
609,10,174.1,0,0,0,0,0
610,10,175.1,0,0,0,0,0
611,10,176.1,0,0,0,0,0
612,10,177.1,0,0,0,0,0
613,10,178.1,0,0,0,0,0
614,10,179.1,0,0,0,0,0
615,10,180.1,0,0,0,0,0
616,10,181.1,0,0,0,0,0
617,10,182.1,0,0,0,0,0
618,10,183.1,0,0,0,0,0
619,10,184.1,0,0,0,0,0
620,10,185.1,0,0,0,0,0
621,10,186.1,0,0,0,0,0
622,10,187.1,0,0,0,0,0
623,10,188.1,0,0,0,0,0
624,10,189.1,0,0,0,0,0
625,11,172.818,0,0,0,1,0
626,11,173.818,1,0,0,0,0
627,12,160.25,0,0,0,1,0
628,12,161.25,1,0,0,0,0
629,12,162.25,1,0,0,0,0
630,12,163.25,1,0,0,0,0
631,12,164.25,1,0,0,0,0
632,11,176.091,1,1,0,0,0
633,11,177.091,0,0,0,0,0
634,11,178.091,0,0,0,0,0
635,11,179.091,0,0,0,0,0
636,11,180.091,0,0,0,0,0
637,11,181.091,0,0,0,0,0
638,11,182.091,0,0,0,0,0
639,11,183.091,0,0,0,0,0
640,11,184.091,0,0,0,0,0
641,11,185.091,0,0,0,0,0
642,11,186.091,0,0,0,0,0
643,11,187.091,0,0,0,0,0
644,11,188.091,0,0,0,0,0
645,11,189.091,0,0,0,0,0
646,11,190.091,0,0,0,0,0
647,11,191.091,0,0,0,0,0
648,11,192.091,0,0,0,0,0
649,11,193.091,0,0,0,0,0
650,11,194.091,0,0,0,0,0
651,11,195.091,0,0,0,0,0
652,11,196.091,0,0,0,0,0
653,11,197.091,0,0,0,0,0
654,11,198.091,0,0,0,0,0
655,11,199.091,0,0,0,0,0
656,11,200.091,0,0,0,0,0
657,11,201.091,0,0,0,0,0
658,11,202.091,0,0,0,0,0
659,11,203.091,0,0,0,0,0
660,11,204.091,0,0,0,0,0
661,11,205.091,0,0,0,0,0
662,12,188.917,0,0,0,1,0
663,12,189.917,1,0,0,0,0
664,12,190.917,1,0,0,0,0
665,11,209.091,1,1,0,0,0
666,11,210.091,0,0,0,0,0
667,11,211.091,0,0,0,0,0
668,11,212.091,0,0,0,0,0
669,11,213.091,0,0,0,0,0
670,11,214.091,0,0,0,0,0
671,11,215.091,0,0,0,0,0
672,11,216.091,0,0,0,0,0
673,11,217.091,0,0,0,0,0
674,11,218.091,0,0,0,0,0
675,12,200.833,0,0,0,1,0
676,10,205.7,2,2,0,0,0
677,10,206.7,0,0,0,0,0
678,10,207.7,0,0,0,0,0
679,10,208.7,0,0,0,0,0
680,10,209.7,0,0,0,0,0
681,11,191.545,0,0,0,1,0
682,11,192.545,1,0,0,0,0
683,10,189.1,1,1,0,0,0
684,10,190.1,0,0,0,0,0
685,10,191.1,0,0,0,0,0
686,10,192.1,0,0,0,0,0
687,10,193.1,0,0,0,0,0
688,10,194.1,0,0,0,0,0
689,10,195.1,0,0,0,0,0
690,10,196.1,0,0,0,0,0
691,10,197.1,0,0,0,0,0
692,10,198.1,0,0,0,0,0
693,10,199.1,0,0,0,0,0
694,10,200.1,0,0,0,0,0
695,10,201.1,0,0,0,0,0
696,10,202.1,0,0,0,0,0
697,10,203.1,0,0,0,0,0
698,10,204.1,0,0,0,0,0
699,10,205.1,0,0,0,0,0
700,10,206.1,0,0,0,0,0
701,10,207.1,0,0,0,0,0
702,10,208.1,0,0,0,0,0
703,10,209.1,0,0,0,0,0
704,10,210.1,0,0,0,0,0
705,10,211.1,0,0,0,0,0
706,10,212.1,0,0,0,0,0
707,10,213.1,0,0,0,0,0
708,10,214.1,0,0,0,0,0
709,10,215.1,0,0,0,0,0
710,10,216.1,0,0,0,0,0
711,11,197.364,0,0,0,1,0
712,10,218.1,1,1,0,0,0
713,10,219.1,0,0,0,0,0
714,10,220.1,0,0,0,0,0
715,10,221.1,0,0,0,0,0
716,10,222.1,0,0,0,0,0
717,11,202.818,0,0,0,1,0
718,11,203.818,1,0,0,0,0
719,11,204.818,0,0,0,0,0
720,11,205.818,0,0,0,0,0
721,11,206.818,0,0,0,0,0
722,11,207.818,0,0,0,0,0
723,11,208.818,0,0,0,0,0
724,11,209.818,0,0,0,0,0
725,11,210.818,0,0,0,0,0
726,11,211.818,0,0,0,0,0
727,11,212.818,0,0,0,0,0
728,11,213.818,0,0,0,0,0
729,11,214.818,0,0,0,0,0
730,11,215.818,0,0,0,0,0
731,11,216.818,0,0,0,0,0
732,11,217.818,0,0,0,0,0
733,11,218.818,0,0,0,0,0
734,11,219.818,0,0,0,0,0
735,12,202.417,0,0,0,1,0
736,11,216.364,1,1,0,0,0
737,12,199.25,0,0,0,1,0
738,12,200.25,1,0,0,0,0
739,13,185.769,0,0,0,1,0
740,13,186.769,1,0,0,0,0
741,13,187.769,1,0,0,0,0
742,13,188.769,1,0,0,0,0
743,12,205.25,1,1,0,0,0
744,12,206.25,0,0,0,0,0
745,12,207.25,0,0,0,0,0
746,12,208.25,0,0,0,0,0
747,12,209.25,0,0,0,0,0
748,12,210.25,0,0,0,0,0
749,12,211.25,0,0,0,0,0
750,12,212.25,0,0,0,0,0
751,12,213.25,0,0,0,0,0
752,12,214.25,0,0,0,0,0
753,12,215.25,0,0,0,0,0
754,12,216.25,0,0,0,0,0
755,12,217.25,0,0,0,0,0
756,12,218.25,0,0,0,0,0
757,12,219.25,0,0,0,0,0
758,12,220.25,0,0,0,0,0
759,12,221.25,0,0,0,0,0
760,12,222.25,0,0,0,0,0
761,12,223.25,0,0,0,0,0
762,12,224.25,0,0,0,0,0
763,12,225.25,0,0,0,0,0
764,12,226.25,0,0,0,0,0
765,12,227.25,0,0,0,0,0
766,12,228.25,0,0,0,0,0
767,13,211.615,0,0,0,1,0
768,13,212.615,1,0,0,0,0
769,13,213.615,0,0,0,0,0
770,13,214.615,0,0,0,0,0
